MovieID,Genre
1,Drama
2,Drama
2,Crime
3,Drama
3,Crime
3,Action
4,Drama
4,Crime
5,Drama
5,Crime
6,History
6,Drama
6,Biography
7,Drama
7,Adventure
7,Action
8,Drama
8,Crime
9,Drama
9,Adventure
9,Action
10,Western
10,Adventure
11,Romance
11,Drama
12,Drama
13,Sci-Fi
13,Adventure
13,Action
14,Drama
14,Adventure
14,Action
15,Fantasy
15,Adventure
15,Action
16,Sci-Fi
16,Action
17,Drama
17,Crime
17,Biography
18,Drama
19,Mystery
19,Drama
19,Crime
20,Drama
20,Action
21,Fantasy
21,Family
21,Drama
22,Thriller
22,Drama
22,Crime
23,Drama
23,Crime
24,War
24,Drama
25,Romance
25,Drama
25,Comedy
26,Fantasy
26,Drama
26,Crime
27,Sci-Fi
27,Drama
27,Adventure
28,Fantasy
28,Adventure
28,Action
29,Sci-Fi
29,Action
30,Sci-Fi
30,Comedy
30,Adventure
31,Family
31,Adventure
31,Animation
32,Thriller
32,Mystery
32,Horror
33,Music
33,Drama
33,Biography
34,Drama
34,Crime
34,Action
35,Thriller
35,Drama
35,Comedy
36,Drama
36,Adventure
36,Animation
37,Drama
37,Adventure
37,Action
38,Drama
38,Crime
39,Mystery
39,Drama
39,Crime
40,Thriller
40,Drama
40,Crime
41,Sci-Fi
41,Mystery
41,Drama
42,War
42,Romance
42,Drama
43,Music
43,Drama
44,Drama
44,Comedy
44,Biography
45,Drama
45,Action
46,Romance
46,Drama
46,Comedy
47,Mystery
47,Drama
47,Action
48,War
48,Drama
48,Animation
49,Western
50,Thriller
50,Mystery
51,Sci-Fi
51,Horror
52,Romance
52,Drama
52,Comedy
53,Romance
53,Drama
54,Thriller
54,Mystery
55,War
55,Mystery
55,Drama
56,Adventure
56,Action
57,Western
57,Drama
58,Family
58,Adventure
58,Animation
59,Thriller
59,Mystery
59,Drama
60,Film-Noir
60,Drama
61,War
61,Drama
62,Horror
62,Drama
63,War
63,Drama
63,Comedy
64,Mystery
64,Drama
64,Crime
65,Sci-Fi
65,Adventure
65,Action
66,Sci-Fi
66,Adventure
66,Action
67,Drama
68,War
68,Comedy
69,Adventure
69,Action
69,Animation
70,Drama
70,Action
71,Mystery
71,Drama
71,Action
72,Thriller
72,Drama
72,Crime
73,Music
73,Drama
73,Biography
74,History
74,Drama
74,Biography
75,Comedy
75,Adventure
75,Animation
76,Comedy
76,Adventure
76,Animation
77,War
77,Drama
78,War
78,Drama
78,Adventure
79,Fantasy
79,Adventure
79,Animation
80,Drama
80,Adventure
80,Action
81,Drama
81,Crime
82,Romance
82,Drama
83,Comedy
83,Adventure
83,Animation
84,Drama
85,Fantasy
85,Drama
85,Animation
86,Romance
86,Musical
86,Comedy
87,Drama
87,Comedy
88,Fantasy
88,Adventure
88,Action
89,Sci-Fi
89,Adventure
90,Sci-Fi
90,Romance
90,Drama
91,Thriller
91,Drama
91,Crime
92,Mystery
92,Drama
92,Crime
93,Drama
94,Mystery
94,Drama
95,Drama
95,Biography
95,Adventure
96,Drama
97,Thriller
97,Mystery
97,Crime
98,Mystery
98,Adventure
98,Action
99,Thriller
99,Romance
99,Mystery
100,Romance
100,Comedy
101,War
101,Thriller
101,Drama
102,Sci-Fi
102,Crime
103,War
103,Drama
104,Film-Noir
104,Drama
104,Crime
105,Romance
105,Drama
105,Comedy
106,Drama
106,Crime
107,Drama
108,Drama
108,Crime
108,Comedy
109,Drama
109,Crime
110,Drama
110,Crime
111,Comedy
111,Adventure
